Latitude,Longitude,Degree,DateTime,Image Index
-19.8529750555556,-43.9782914444444,89.9,2022:08:24 08:47:02, _Pampulha_2022-08-24_0000SET_000_DJI_4161.TIF
-19.8530029722222,-43.9783700555556,90.0,2022:08:24 08:47:04, _Pampulha_2022-08-24_0000SET_000_DJI_4171.TIF
-19.8530310277778,-43.9784489722222,89.9,2022:08:24 08:47:05, _Pampulha_2022-08-24_0000SET_000_DJI_4181.TIF
-19.8530431111111,-43.9784819444444,89.9,2022:08:24 08:47:06, _Pampulha_2022-08-24_0000SET_000_DJI_4191.TIF
-19.8530442222222,-43.9784861944444,90.0,2022:08:24 08:47:07, _Pampulha_2022-08-24_0000SET_000_DJI_4201.TIF
-19.8531128888889,-43.9784881666667,89.9,2022:08:24 08:47:10, _Pampulha_2022-08-24_0000SET_000_DJI_4211.TIF
-19.8532313333333,-43.9785005555556,89.9,2022:08:24 08:47:12, _Pampulha_2022-08-24_0000SET_000_DJI_4221.TIF
-19.8545020833333,-43.9786264444444,89.9,2022:08:24 08:47:32, _Pampulha_2022-08-24_0000SET_000_DJI_4231.TIF
-19.8546494722222,-43.9786447777778,89.9,2022:08:24 08:47:34, _Pampulha_2022-08-24_0000SET_000_DJI_4241.TIF
-19.8551694444444,-43.9787010555556,89.9,2022:08:24 08:47:43, _Pampulha_2022-08-24_0000SET_000_DJI_4251.TIF
-19.8554961944444,-43.9787360277778,90.0,2022:08:24 08:47:48, _Pampulha_2022-08-24_0000SET_000_DJI_4261.TIF
-19.8556034444444,-43.9787466111111,90.0,2022:08:24 08:47:50, _Pampulha_2022-08-24_0000SET_000_DJI_4271.TIF
-19.8557073333333,-43.9787578888889,89.9,2022:08:24 08:47:51, _Pampulha_2022-08-24_0000SET_000_DJI_4281.TIF
-19.8558128611111,-43.9787685277778,90.0,2022:08:24 08:47:53, _Pampulha_2022-08-24_0000SET_000_DJI_4291.TIF
-19.8558868611111,-43.9787756944444,90.0,2022:08:24 08:47:54, _Pampulha_2022-08-24_0000SET_000_DJI_4301.TIF
-19.856029,-43.97879,90.0,2022:08:24 08:47:57, _Pampulha_2022-08-24_0000SET_000_DJI_4311.TIF
-19.8560856666667,-43.9787958611111,89.9,2022:08:24 08:47:59, _Pampulha_2022-08-24_0000SET_000_DJI_4321.TIF
-19.8560811944444,-43.9787947777778,90.0,2022:08:24 08:48:00, _Pampulha_2022-08-24_0000SET_000_DJI_4331.TIF
-19.8561080277778,-43.9788156111111,90.0,2022:08:24 08:48:01, _Pampulha_2022-08-24_0000SET_000_DJI_4341.TIF
-19.85617025,-43.9788648888889,89.9,2022:08:24 08:48:03, _Pampulha_2022-08-24_0000SET_000_DJI_4351.TIF
-19.8562435833333,-43.9789243611111,89.9,2022:08:24 08:48:04, _Pampulha_2022-08-24_0000SET_000_DJI_4361.TIF
-19.8563177222222,-43.9789857222222,90.0,2022:08:24 08:48:05, _Pampulha_2022-08-24_0000SET_000_DJI_4371.TIF
-19.8564626388889,-43.9791045,89.9,2022:08:24 08:48:08, _Pampulha_2022-08-24_0000SET_000_DJI_4381.TIF
-19.8568538888889,-43.9794245,90.0,2022:08:24 08:48:16, _Pampulha_2022-08-24_0000SET_000_DJI_4391.TIF
-19.8569814166667,-43.97952775,89.9,2022:08:24 08:48:19, _Pampulha_2022-08-24_0000SET_000_DJI_4401.TIF
-19.85717675,-43.9796871111111,90.0,2022:08:24 08:48:23, _Pampulha_2022-08-24_0000SET_000_DJI_4411.TIF
-19.85729525,-43.9797842222222,89.9,2022:08:24 08:48:25, _Pampulha_2022-08-24_0000SET_000_DJI_4421.TIF
-19.8574136111111,-43.97988075,89.9,2022:08:24 08:48:28, _Pampulha_2022-08-24_0000SET_000_DJI_4431.TIF
-19.8575054722222,-43.9799562222222,90.0,2022:08:24 08:48:29, _Pampulha_2022-08-24_0000SET_000_DJI_4441.TIF
-19.8575709166667,-43.9800109444444,89.9,2022:08:24 08:48:31, _Pampulha_2022-08-24_0000SET_000_DJI_4451.TIF
