Degree,Image Index
90.0, _Campo2022-03-TM_0002SET_000_DJI_3621.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3631.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3641.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3651.TIF
40.4, _Campo2022-03-TM_0002SET_000_DJI_3681.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3691.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3701.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3711.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3721.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3751.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3761.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3771.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3781.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3791.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3801.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3811.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3821.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3831.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3841.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3851.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3861.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3871.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3881.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3891.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3901.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3931.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3941.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3951.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3961.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_3971.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_3991.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4001.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4011.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4021.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4031.TIF
64.9, _Campo2022-03-TM_0002SET_000_DJI_4041.TIF
52.6, _Campo2022-03-TM_0002SET_000_DJI_4061.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4091.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4101.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4171.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4181.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4191.TIF
76.4, _Campo2022-03-TM_0002SET_000_DJI_4201.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4211.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4221.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4231.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4241.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4251.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4261.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4271.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4281.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4291.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4301.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4311.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4321.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4331.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4341.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4351.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4361.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4371.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4381.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4391.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4401.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4411.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4421.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4431.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4441.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4451.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4461.TIF
58.2, _Campo2022-03-TM_0002SET_000_DJI_4471.TIF
58.2, _Campo2022-03-TM_0002SET_000_DJI_4481.TIF
58.2, _Campo2022-03-TM_0002SET_000_DJI_4491.TIF
58.2, _Campo2022-03-TM_0002SET_000_DJI_4501.TIF
58.2, _Campo2022-03-TM_0002SET_000_DJI_4511.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4521.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4531.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4541.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4551.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4561.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4571.TIF
89.9, _Campo2022-03-TM_0002SET_000_DJI_4581.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4591.TIF
90.0, _Campo2022-03-TM_0002SET_000_DJI_4601.TIF
