Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8530120833333,-43.9834343055556,841.928,89.9,2022:05:12 08:34:42, _Campo220512-Pampulha_0000SET_000_DJI_3611.TIF
-19.85294675,-43.9831393055556,842.184,89.9,2022:05:12 08:34:45, _Campo220512-Pampulha_0000SET_000_DJI_3621.TIF
-19.8528634166667,-43.9827619722222,842.588,90.0,2022:05:12 08:34:49, _Campo220512-Pampulha_0000SET_000_DJI_3631.TIF
-19.8528006944444,-43.9824733888889,842.494,89.9,2022:05:12 08:34:52, _Campo220512-Pampulha_0000SET_000_DJI_3641.TIF
-19.8527486944444,-43.9822355,842.512,89.9,2022:05:12 08:34:55, _Campo220512-Pampulha_0000SET_000_DJI_3651.TIF
-19.8527034722222,-43.9820331388889,842.432,90.0,2022:05:12 08:34:57, _Campo220512-Pampulha_0000SET_000_DJI_3661.TIF
-19.8526492222222,-43.9817883333333,842.436,89.9,2022:05:12 08:35:00, _Campo220512-Pampulha_0000SET_000_DJI_3671.TIF
-19.85260075,-43.9815691666667,842.294,89.9,2022:05:12 08:35:02, _Campo220512-Pampulha_0000SET_000_DJI_3681.TIF
-19.8525475,-43.9813268333333,842.104,89.9,2022:05:12 08:35:05, _Campo220512-Pampulha_0000SET_000_DJI_3691.TIF
-19.8525293055556,-43.9812457222222,842.28,90.0,2022:05:12 08:35:07, _Campo220512-Pampulha_0000SET_000_DJI_3701.TIF
-19.8525659444444,-43.9811908055556,842.257,89.9,2022:05:12 08:35:09, _Campo220512-Pampulha_0000SET_000_DJI_3711.TIF
-19.8527148055556,-43.9809469444444,841.656,90.0,2022:05:12 08:35:13, _Campo220512-Pampulha_0000SET_000_DJI_3721.TIF
-19.8528715833333,-43.9806913333333,842.314,89.9,2022:05:12 08:35:16, _Campo220512-Pampulha_0000SET_000_DJI_3731.TIF
-19.8530456666667,-43.9804088055556,842.944,89.9,2022:05:12 08:35:19, _Campo220512-Pampulha_0000SET_000_DJI_3741.TIF
-19.8531653888889,-43.9802146111111,843.106,89.9,2022:05:12 08:35:21, _Campo220512-Pampulha_0000SET_000_DJI_3751.TIF
-19.8532899444444,-43.9800133333333,843.158,90.0,2022:05:12 08:35:24, _Campo220512-Pampulha_0000SET_000_DJI_3761.TIF
-19.8534267222222,-43.9797911111111,843.416,89.9,2022:05:12 08:35:26, _Campo220512-Pampulha_0000SET_000_DJI_3771.TIF
-19.8535538333333,-43.9795845833333,843.557,89.9,2022:05:12 08:35:29, _Campo220512-Pampulha_0000SET_000_DJI_3781.TIF
-19.8536553611111,-43.9794189166667,843.65,90.0,2022:05:12 08:35:31, _Campo220512-Pampulha_0000SET_000_DJI_3791.TIF
-19.8537738333333,-43.9792268333333,843.421,90.0,2022:05:12 08:35:33, _Campo220512-Pampulha_0000SET_000_DJI_3801.TIF
-19.8539271666667,-43.9789793055556,843.375,89.9,2022:05:12 08:35:36, _Campo220512-Pampulha_0000SET_000_DJI_3811.TIF
-19.8539880833333,-43.9788940555556,843.095,90.0,2022:05:12 08:35:39, _Campo220512-Pampulha_0000SET_000_DJI_3821.TIF
-19.8541200833333,-43.9787942777778,842.216,89.9,2022:05:12 08:35:41, _Campo220512-Pampulha_0000SET_000_DJI_3831.TIF
-19.8543149166667,-43.9786509166667,841.468,89.9,2022:05:12 08:35:44, _Campo220512-Pampulha_0000SET_000_DJI_3841.TIF
-19.8546609166667,-43.97839425,842.385,90.0,2022:05:12 08:35:48, _Campo220512-Pampulha_0000SET_000_DJI_3851.TIF
-19.8548576111111,-43.9782472222222,842.634,89.9,2022:05:12 08:35:50, _Campo220512-Pampulha_0000SET_000_DJI_3861.TIF
-19.8550865,-43.9780768888889,842.851,90.0,2022:05:12 08:35:53, _Campo220512-Pampulha_0000SET_000_DJI_3871.TIF
-19.8552911666667,-43.9779241944444,842.953,89.9,2022:05:12 08:35:56, _Campo220512-Pampulha_0000SET_000_DJI_3881.TIF
-19.8556764444444,-43.9787659722222,842.51,89.9,2022:05:12 09:11:20, _Campo220512-Pampulha_0001SET_000_DJI_4041.TIF
-19.8558286388889,-43.9788776111111,841.735,89.9,2022:05:12 09:11:25, _Campo220512-Pampulha_0001SET_000_DJI_4051.TIF
-19.8559460555556,-43.9789680277778,841.289,90.0,2022:05:12 09:11:28, _Campo220512-Pampulha_0001SET_000_DJI_4061.TIF
-19.8560973611111,-43.9790817777778,841.136,89.9,2022:05:12 09:11:32, _Campo220512-Pampulha_0001SET_000_DJI_4071.TIF
-19.85631925,-43.9792510277778,840.952,90.0,2022:05:12 09:11:37, _Campo220512-Pampulha_0001SET_000_DJI_4081.TIF
-19.8565288611111,-43.9794145555556,840.803,89.9,2022:05:12 09:11:43, _Campo220512-Pampulha_0001SET_000_DJI_4091.TIF
-19.8567054722222,-43.9795491666667,840.646,89.9,2022:05:12 09:11:47, _Campo220512-Pampulha_0001SET_000_DJI_4101.TIF
-19.85684975,-43.9796587777778,840.552,90.0,2022:05:12 09:11:51, _Campo220512-Pampulha_0001SET_000_DJI_4111.TIF
-19.8570164722222,-43.9797842222222,840.357,89.9,2022:05:12 09:11:55, _Campo220512-Pampulha_0001SET_000_DJI_4121.TIF
-19.8571581944444,-43.9798925,840.285,90.0,2022:05:12 09:11:58, _Campo220512-Pampulha_0001SET_000_DJI_4131.TIF
-19.8572958333333,-43.9799971111111,840.194,90.0,2022:05:12 09:12:02, _Campo220512-Pampulha_0001SET_000_DJI_4141.TIF
-19.85748625,-43.9801409166667,839.846,90.0,2022:05:12 09:12:05, _Campo220512-Pampulha_0001SET_000_DJI_4151.TIF
-19.8576657777778,-43.9802764444444,839.701,90.0,2022:05:12 09:12:09, _Campo220512-Pampulha_0001SET_000_DJI_4161.TIF
-19.8578111944444,-43.9803884722222,839.587,90.0,2022:05:12 09:12:11, _Campo220512-Pampulha_0001SET_000_DJI_4171.TIF
-19.8579869444444,-43.98051975,839.505,89.9,2022:05:12 09:12:15, _Campo220512-Pampulha_0001SET_000_DJI_4181.TIF
-19.8581241944444,-43.9806233611111,839.565,89.9,2022:05:12 09:12:18, _Campo220512-Pampulha_0001SET_000_DJI_4191.TIF
-19.8582561388889,-43.9807231944444,839.734,90.0,2022:05:12 09:12:21, _Campo220512-Pampulha_0001SET_000_DJI_4201.TIF
-19.8584039444444,-43.98083675,839.907,90.0,2022:05:12 09:12:24, _Campo220512-Pampulha_0001SET_000_DJI_4211.TIF
-19.8585292777778,-43.9809319166667,839.91,89.9,2022:05:12 09:12:28, _Campo220512-Pampulha_0001SET_000_DJI_4221.TIF
-19.8584896666667,-43.9807705555556,840.134,89.9,2022:05:12 09:12:37, _Campo220512-Pampulha_0001SET_000_DJI_4231.TIF
-19.8583995555556,-43.98061625,840.281,89.9,2022:05:12 09:12:41, _Campo220512-Pampulha_0001SET_000_DJI_4241.TIF
-19.85827775,-43.9804028333333,840.407,90.0,2022:05:12 09:12:45, _Campo220512-Pampulha_0001SET_000_DJI_4251.TIF
-19.8581752222222,-43.9802250833333,840.391,89.9,2022:05:12 09:12:49, _Campo220512-Pampulha_0001SET_000_DJI_4261.TIF
-19.8581060277778,-43.9801032222222,840.469,90.0,2022:05:12 09:12:52, _Campo220512-Pampulha_0001SET_000_DJI_4271.TIF
-19.8580379722222,-43.9799849444444,840.534,90.0,2022:05:12 09:12:55, _Campo220512-Pampulha_0001SET_000_DJI_4281.TIF
-19.8579701111111,-43.9798654444444,840.532,89.9,2022:05:12 09:12:57, _Campo220512-Pampulha_0001SET_000_DJI_4291.TIF
-19.8578874722222,-43.9797218055556,840.508,89.9,2022:05:12 09:13:00, _Campo220512-Pampulha_0001SET_000_DJI_4301.TIF
-19.85781325,-43.9795952777778,840.475,89.9,2022:05:12 09:13:03, _Campo220512-Pampulha_0001SET_000_DJI_4311.TIF
-19.8577453888889,-43.9794764166667,840.525,89.9,2022:05:12 09:13:06, _Campo220512-Pampulha_0001SET_000_DJI_4321.TIF
-19.8576895555556,-43.979378,840.632,89.9,2022:05:12 09:13:08, _Campo220512-Pampulha_0001SET_000_DJI_4331.TIF
-19.8575768055556,-43.9791805555556,840.745,89.9,2022:05:12 09:13:13, _Campo220512-Pampulha_0001SET_000_DJI_4341.TIF
-19.8575095833333,-43.9790635,840.662,90.0,2022:05:12 09:13:15, _Campo220512-Pampulha_0001SET_000_DJI_4351.TIF
-19.8574324444444,-43.9789303055556,840.542,89.9,2022:05:12 09:13:18, _Campo220512-Pampulha_0001SET_000_DJI_4361.TIF
-19.8574556944444,-43.9788560277778,840.945,89.9,2022:05:12 09:13:22, _Campo220512-Pampulha_0001SET_000_DJI_4371.TIF
-19.8575951666667,-43.9787579722222,840.67,89.9,2022:05:12 09:13:25, _Campo220512-Pampulha_0001SET_000_DJI_4381.TIF
-19.8577745555556,-43.9786331666667,840.468,90.0,2022:05:12 09:13:29, _Campo220512-Pampulha_0001SET_000_DJI_4391.TIF
-19.8579949166667,-43.9784793055556,840.402,89.9,2022:05:12 09:13:34, _Campo220512-Pampulha_0001SET_000_DJI_4401.TIF
-19.8581505555556,-43.9783714722222,840.313,89.9,2022:05:12 09:13:37, _Campo220512-Pampulha_0001SET_000_DJI_4411.TIF
-19.8582966666667,-43.978269,840.195,89.9,2022:05:12 09:13:40, _Campo220512-Pampulha_0001SET_000_DJI_4421.TIF
-19.858485,-43.9781373055556,840.354,89.9,2022:05:12 09:13:44, _Campo220512-Pampulha_0001SET_000_DJI_4431.TIF
-19.8586233333333,-43.9780401111111,840.349,89.9,2022:05:12 09:13:46, _Campo220512-Pampulha_0001SET_000_DJI_4441.TIF
-19.8588401944444,-43.9778911111111,840.241,89.9,2022:05:12 09:13:50, _Campo220512-Pampulha_0001SET_000_DJI_4451.TIF
-19.8590393888889,-43.9777534722222,840.212,90.0,2022:05:12 09:13:53, _Campo220512-Pampulha_0001SET_000_DJI_4461.TIF
-19.8592928333333,-43.9775788888889,840.097,89.9,2022:05:12 09:13:57, _Campo220512-Pampulha_0001SET_000_DJI_4471.TIF
-19.8594914722222,-43.9774403333333,840.371,89.9,2022:05:12 09:14:00, _Campo220512-Pampulha_0001SET_000_DJI_4481.TIF
-19.8597732777778,-43.9772446111111,840.604,89.9,2022:05:12 09:14:04, _Campo220512-Pampulha_0001SET_000_DJI_4491.TIF
-19.8599273055556,-43.9771346388889,840.613,89.9,2022:05:12 09:14:06, _Campo220512-Pampulha_0001SET_000_DJI_4501.TIF
-19.8601363888889,-43.9769909166667,840.389,90.0,2022:05:12 09:14:09, _Campo220512-Pampulha_0001SET_000_DJI_4511.TIF
-19.8603301111111,-43.976853,840.561,89.9,2022:05:12 09:14:13, _Campo220512-Pampulha_0001SET_000_DJI_4521.TIF
-19.8604901111111,-43.9767410555556,840.216,89.9,2022:05:12 09:14:16, _Campo220512-Pampulha_0001SET_000_DJI_4531.TIF
-19.8606297777778,-43.9766456944444,839.921,89.9,2022:05:12 09:14:19, _Campo220512-Pampulha_0001SET_000_DJI_4541.TIF
-19.8607617777778,-43.976553,839.649,89.9,2022:05:12 09:14:22, _Campo220512-Pampulha_0001SET_000_DJI_4551.TIF
-19.8609090277778,-43.9764535833333,839.654,89.9,2022:05:12 09:14:25, _Campo220512-Pampulha_0001SET_000_DJI_4561.TIF
-19.8610541666667,-43.9763513333333,839.813,90.0,2022:05:12 09:14:28, _Campo220512-Pampulha_0001SET_000_DJI_4571.TIF
-19.8612051944444,-43.9762461666667,840.038,89.9,2022:05:12 09:14:31, _Campo220512-Pampulha_0001SET_000_DJI_4581.TIF
