Degree,Image Index
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5061.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5071.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5081.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5091.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5101.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5111.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5121.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5131.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5141.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5151.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5161.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5171.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5181.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5191.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5201.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5211.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5221.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5231.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5241.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5251.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5261.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5271.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5281.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5291.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5301.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5311.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5321.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5331.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5341.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5351.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5361.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5371.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5381.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5391.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5401.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5411.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5421.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5431.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5441.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5451.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5461.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5471.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5481.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5491.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5501.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5511.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5521.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5531.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5541.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5551.TIF
