Latitude,Longitude,DateTime,Image Index
-18.7048866,-45.1938376,2021:05:05 15:04:47, _Campo2021-05-TM_0000SET_002_IMG_0525
-18.7038472,-45.1936872,2021:05:05 15:04:57, _Campo2021-05-TM_0000SET_002_IMG_0530
-18.7024315,-45.1934533,2021:05:05 15:05:15, _Campo2021-05-TM_0000SET_002_IMG_0535
-18.7012008,-45.1932077,2021:05:05 15:05:24, _Campo2021-05-TM_0000SET_002_IMG_0540
-18.7009597,-45.1928869,2021:05:05 15:05:42, _Campo2021-05-TM_0000SET_002_IMG_0545
-18.7017857,-45.1930102,2021:05:05 15:05:52, _Campo2021-05-TM_0000SET_002_IMG_0550
-18.7027541,-45.1931738,2021:05:05 15:06:03, _Campo2021-05-TM_0000SET_002_IMG_0555
-18.7037225,-45.1933301,2021:05:05 15:06:13, _Campo2021-05-TM_0000SET_002_IMG_0560
-18.7047602,-45.193498,2021:05:05 15:06:23, _Campo2021-05-TM_0000SET_002_IMG_0565
-18.7056445,-45.1936381,2021:05:05 15:06:35, _Campo2021-05-TM_0000SET_002_IMG_0570
-18.7049742,-45.1932353,2021:05:05 15:06:49, _Campo2021-05-TM_0000SET_002_IMG_0575
-18.7039906,-45.1930726,2021:05:05 15:06:59, _Campo2021-05-TM_0000SET_002_IMG_0580
-18.7029201,-45.1929028,2021:05:05 15:07:10, _Campo2021-05-TM_0000SET_002_IMG_0585
-18.7016452,-45.1926769,2021:05:05 15:07:24, _Campo2021-05-TM_0000SET_002_IMG_0590
-18.7015676,-45.1923725,2021:05:05 15:07:43, _Campo2021-05-TM_0000SET_002_IMG_0595
-18.7024996,-45.1925322,2021:05:05 15:07:53, _Campo2021-05-TM_0000SET_003_IMG_0600
-18.7035356,-45.1926971,2021:05:05 15:08:04, _Campo2021-05-TM_0000SET_003_IMG_0605
-18.7045885,-45.1928655,2021:05:05 15:08:15, _Campo2021-05-TM_0000SET_003_IMG_0610
-18.7049583,-45.1927784,2021:05:05 15:08:29, _Campo2021-05-TM_0000SET_003_IMG_0615
-18.7041329,-45.1925017,2021:05:05 15:08:40, _Campo2021-05-TM_0000SET_003_IMG_0620
-18.7028833,-45.1922952,2021:05:05 15:08:53, _Campo2021-05-TM_0000SET_003_IMG_0625
-18.7019009,-45.1921231,2021:05:05 15:09:04, _Campo2021-05-TM_0000SET_003_IMG_0630
-18.7019629,-45.1918801,2021:05:05 15:09:17, _Campo2021-05-TM_0000SET_003_IMG_0635
-18.702867,-45.1919973,2021:05:05 15:09:28, _Campo2021-05-TM_0000SET_003_IMG_0640
-18.7038685,-45.1921537,2021:05:05 15:09:46, _Campo2021-05-TM_0000SET_003_IMG_0645
-18.7042427,-45.1919356,2021:05:05 15:10:01, _Campo2021-05-TM_0000SET_003_IMG_0650
-18.7031586,-45.1917217,2021:05:05 15:10:11, _Campo2021-05-TM_0000SET_003_IMG_0655
-18.7023369,-45.1915743,2021:05:05 15:10:20, _Campo2021-05-TM_0000SET_003_IMG_0660
-18.7027978,-45.191358,2021:05:05 15:10:35, _Campo2021-05-TM_0000SET_003_IMG_0665
-18.7037427,-45.1915009,2021:05:05 15:10:46, _Campo2021-05-TM_0000SET_003_IMG_0670
-18.7037006,-45.1911969,2021:05:05 15:11:01, _Campo2021-05-TM_0000SET_003_IMG_0675
-18.702817,-45.1910027,2021:05:05 15:11:13, _Campo2021-05-TM_0000SET_003_IMG_0680
-18.7030878,-45.1912157,2021:05:05 16:34:04, _Campo2021-05-TM_0002SET_000_IMG_0001
-18.7039371,-45.1906914,2021:05:05 16:34:15, _Campo2021-05-TM_0002SET_000_IMG_0006
-18.7041398,-45.1907456,2021:05:05 16:34:34, _Campo2021-05-TM_0002SET_000_IMG_0011
-18.7033988,-45.1912772,2021:05:05 16:34:44, _Campo2021-05-TM_0002SET_000_IMG_0016
-18.703518,-45.1916093,2021:05:05 16:35:01, _Campo2021-05-TM_0002SET_000_IMG_0021
-18.7042524,-45.1910711,2021:05:05 16:35:11, _Campo2021-05-TM_0002SET_000_IMG_0026
